UML_ID,Mill_Name,Group_Name,Group,Parent_Com,Parent Company,Comments,RSPO_Statu,RSPO_Type,Date,Latitude,Longitude,ISO,Country,Province,District,Confidence,Alternativ,Type,Alt Names
MH610,Buluan Palm Oil Mill,UNKNOWN,Agumil Philippines,"Agumil Philippines, Inc.",Agumil Philippines,,,,2021/09/29 00:00:00+00,6.855576,124.842604,PHL,Phillipines,,,,,,
MH830,Dabou,UNKNOWN,,Societe Palmindustrie,,,,,2021/09/29 00:00:00+00,5.371019,-4.465764,CIV,Côte d'Ivoire,,,,,,PALMAFFIQUE DABOU
MH1099,FELCRA PROCESSING,Felcra,Felcra,KESEDAR,FELCRA Processing & Engineering,,,,2021/09/29 00:00:00+00,4.102494,101.320600,MYS,Malaysia,,,,,,
MH3762,SAWIT PRIMA NUSANTARA,UNKNOWN,Teladan,TELADAN PRIMA GROUP,,,,,2021/09/29 00:00:00+00,1.102000,117.808000,IDN,Indonesia,,,,,,
MH4373,SUNGAI LEKO,TEGUHKARSA WANALESTARI,Teguhkarsa Wanalestari,TEGUHKARSA WANALESTARI,,,,,2021/09/29 00:00:00+00,0.849895,101.393800,IDN,Indonesia,,,,,,
MH15319,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,0.836976,99.022568,IDN,Indonesia,,,,,,
MH16004,Mitra Andalan Sumatera,,PTPN III,Era Sawita,,,,,,3.68868000,98.5963100,,Indonesia,,,,,Crusher,
MH16009,Plot 8545 mill,,,,,,,,,6.67511390,-73.9296475,,Colombia,,,,,,
MH16010,PT Citra Permata Serundung,,,,,,,,,-0.826291980,111.450175,,Indonesia,,,,,,
MH16019,PLANT de Ngombe-Mombangi,,,,,,,,,2.39464114,20.5099736,,Democratic Republic of the Congo,,,,,,
MH16030,Serdang Jaya Perdana,Mr. Sian,,PT Serdang Jaya Perdana,,,,,,3.69175200,98.5092640,,,,,,,,
